epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,13990.8,1.12663,0.94931,1.25815,0.72325,0.63798,0.65754,0.44337,1.0699,0.93817,1.2289,0.00360276,0.00360276,0.00360276
109,14119,1.13841,0.97113,1.26729,0.73034,0.63266,0.65741,0.44391,1.07015,0.93704,1.22829,0.00352037,0.00352037,0.00352037
110,14248,1.13078,0.95002,1.25889,0.73212,0.63114,0.65841,0.44434,1.06942,0.93752,1.22847,0.00343844,0.00343844,0.00343844
111,14376.7,1.12592,0.94719,1.26183,0.73249,0.63499,0.65951,0.44378,1.07,0.93576,1.22871,0.003357,0.003357,0.003357
112,14505.1,1.11931,0.94258,1.25271,0.73043,0.63694,0.65935,0.4439,1.07217,0.93601,1.2286,0.00327608,0.00327608,0.00327608
113,14633.7,1.12099,0.94986,1.2552,0.73171,0.63426,0.66064,0.44534,1.07279,0.93619,1.22912,0.0031957,0.0031957,0.0031957
114,14762.4,1.11893,0.94269,1.2538,0.74154,0.6255,0.66061,0.44641,1.07252,0.93316,1.2286,0.00311588,0.00311588,0.00311588
115,14891.1,1.1114,0.9327,1.24545,0.73818,0.62503,0.66044,0.44674,1.07143,0.93237,1.22757,0.00303665,0.00303665,0.00303665
116,15019.4,1.11254,0.93626,1.25076,0.72844,0.63829,0.66188,0.44787,1.06988,0.93044,1.22684,0.00295804,0.00295804,0.00295804
117,15147.5,1.11089,0.93203,1.25025,0.71974,0.64235,0.66269,0.4484,1.06935,0.9287,1.22661,0.00288006,0.00288006,0.00288006
118,15275.4,1.10802,0.9254,1.24865,0.71901,0.64576,0.66319,0.449,1.06927,0.92774,1.22662,0.00280275,0.00280275,0.00280275
119,15403.6,1.10659,0.93178,1.2437,0.7203,0.64921,0.6628,0.44752,1.06936,0.9262,1.22637,0.00272612,0.00272612,0.00272612
120,15531.8,1.10817,0.928,1.24471,0.72212,0.64467,0.66236,0.44796,1.06911,0.92705,1.22543,0.00265019,0.00265019,0.00265019
121,15660.5,1.10164,0.91619,1.24362,0.72132,0.651,0.66307,0.4499,1.06843,0.92561,1.22532,0.002575,0.002575,0.002575
122,15790.1,1.09299,0.90596,1.23627,0.71805,0.64992,0.66363,0.45017,1.06654,0.92423,1.22445,0.00250056,0.00250056,0.00250056
123,15919.2,1.09116,0.91789,1.24035,0.71549,0.65388,0.6646,0.45011,1.06596,0.92452,1.22436,0.0024269,0.0024269,0.0024269
124,16049.6,1.08523,0.89678,1.23285,0.71519,0.6524,0.66563,0.45138,1.0663,0.9244,1.22514,0.00235404,0.00235404,0.00235404
125,16179.4,1.08935,0.90251,1.233,0.71598,0.64689,0.66632,0.45276,1.06585,0.92337,1.22482,0.002282,0.002282,0.002282
126,16309.2,1.08141,0.89377,1.23169,0.71873,0.64297,0.66579,0.45203,1.06496,0.92261,1.22431,0.0022108,0.0022108,0.0022108
127,16439,1.07488,0.89299,1.22547,0.71325,0.64629,0.66586,0.45279,1.06556,0.92369,1.22523,0.00214046,0.00214046,0.00214046
128,16575.2,1.08569,0.89741,1.23396,0.72416,0.63876,0.66555,0.45257,1.06436,0.92341,1.22419,0.00207102,0.00207102,0.00207102
129,16702.3,1.07282,0.87949,1.22055,0.72684,0.63638,0.66594,0.45278,1.06398,0.9227,1.22379,0.00200248,0.00200248,0.00200248
130,16830.5,1.07974,0.88737,1.22206,0.70657,0.64774,0.66567,0.4525,1.06401,0.92255,1.22295,0.00193486,0.00193486,0.00193486
131,16958.2,1.0687,0.88005,1.22236,0.71609,0.64396,0.66571,0.45223,1.06361,0.92254,1.22249,0.0018682,0.0018682,0.0018682
132,17085.4,1.0655,0.86706,1.22188,0.72086,0.64298,0.66606,0.45228,1.06393,0.92291,1.22227,0.00180251,0.00180251,0.00180251
133,17212.7,1.06813,0.87791,1.22189,0.72015,0.64318,0.66567,0.45299,1.06372,0.92297,1.22226,0.0017378,0.0017378,0.0017378
134,17340.5,1.06226,0.87676,1.21798,0.7218,0.64687,0.66613,0.45237,1.06437,0.9228,1.22253,0.00167411,0.00167411,0.00167411
135,17468.7,1.06285,0.87886,1.21591,0.7219,0.64536,0.66562,0.45318,1.06451,0.92244,1.22236,0.00161144,0.00161144,0.00161144
136,17596,1.06162,0.8703,1.21929,0.7196,0.64804,0.66578,0.45329,1.06449,0.92304,1.22236,0.00154982,0.00154982,0.00154982
137,17732,1.05698,0.86545,1.21754,0.71222,0.65227,0.66579,0.4532,1.06363,0.92252,1.22213,0.00148927,0.00148927,0.00148927
138,17863.5,1.05658,0.85967,1.21083,0.71271,0.65003,0.66612,0.45417,1.06364,0.92243,1.22223,0.0014298,0.0014298,0.0014298
139,17990.9,1.05411,0.85781,1.21393,0.71479,0.65171,0.66619,0.4538,1.06352,0.92242,1.22211,0.00137143,0.00137143,0.00137143
140,18118.4,1.06381,0.86569,1.2161,0.72365,0.64774,0.66671,0.45401,1.0631,0.92233,1.22182,0.00131419,0.00131419,0.00131419
141,18245.8,1.03245,0.83988,1.20615,0.72496,0.64758,0.66687,0.45435,1.06342,0.92304,1.22226,0.00125808,0.00125808,0.00125808
142,18372.8,1.03644,0.85473,1.20432,0.72511,0.64738,0.66703,0.45423,1.06386,0.92287,1.22282,0.00120313,0.00120313,0.00120313
143,18501,1.04564,0.8486,1.20441,0.72482,0.64781,0.66726,0.45462,1.06371,0.92329,1.22279,0.00114935,0.00114935,0.00114935
144,18629.5,1.03549,0.84572,1.20763,0.72135,0.64706,0.66719,0.45468,1.06356,0.9235,1.22271,0.00109675,0.00109675,0.00109675
145,18758.3,1.05035,0.85288,1.21213,0.72215,0.64932,0.66751,0.4548,1.06327,0.92399,1.22214,0.00104537,0.00104537,0.00104537
146,18885.6,1.03613,0.83866,1.20496,0.72159,0.64902,0.66803,0.45559,1.06309,0.92346,1.22265,0.000995197,0.000995197,0.000995197
147,19015,1.03662,0.85072,1.20818,0.71896,0.64884,0.66781,0.45591,1.06317,0.92382,1.22279,0.000946264,0.000946264,0.000946264
148,19144.8,1.03957,0.84435,1.20552,0.71642,0.65117,0.66776,0.45569,1.06344,0.92485,1.22317,0.000898581,0.000898581,0.000898581
149,19275.4,1.04076,0.84335,1.20556,0.71777,0.65075,0.66763,0.45531,1.06401,0.9247,1.22379,0.000852162,0.000852162,0.000852162
150,19405.3,1.04031,0.84399,1.20677,0.7185,0.65172,0.66767,0.45571,1.06369,0.92518,1.22365,0.000807022,0.000807022,0.000807022
151,19533.3,1.02044,0.8228,1.19061,0.71819,0.65248,0.66813,0.45627,1.06386,0.92518,1.22369,0.000763174,0.000763174,0.000763174
152,19662.9,1.02426,0.83871,1.19571,0.71886,0.6524,0.66815,0.45541,1.0645,0.9255,1.2241,0.000720632,0.000720632,0.000720632
153,19793.1,1.03597,0.84111,1.20419,0.71962,0.65391,0.66854,0.45585,1.06458,0.92569,1.22408,0.000679409,0.000679409,0.000679409
154,19922.9,1.03055,0.8365,1.1989,0.7189,0.65243,0.66852,0.45594,1.06469,0.92545,1.22424,0.000639518,0.000639518,0.000639518
155,20052.4,1.02848,0.82551,1.19979,0.72179,0.654,0.66876,0.45641,1.06478,0.92578,1.22421,0.000600969,0.000600969,0.000600969
156,20180.4,1.02311,0.82985,1.19527,0.71505,0.65647,0.66855,0.45506,1.06519,0.92558,1.22447,0.000563776,0.000563776,0.000563776
157,20307.9,1.01663,0.82213,1.192,0.72178,0.65272,0.66912,0.45512,1.06453,0.92521,1.2242,0.00052795,0.00052795,0.00052795
158,20436.2,1.01707,0.81806,1.1906,0.72371,0.65286,0.66875,0.45558,1.065,0.92539,1.22468,0.000493501,0.000493501,0.000493501
159,20563.8,1.02074,0.82344,1.19816,0.71317,0.65934,0.6689,0.45597,1.06515,0.92523,1.22472,0.00046044,0.00046044,0.00046044
160,20692.5,1.02006,0.81709,1.19444,0.71099,0.65983,0.66838,0.45534,1.06522,0.92546,1.2248,0.000428777,0.000428777,0.000428777
161,20820.3,1.00975,0.8119,1.18862,0.71064,0.66261,0.66863,0.45625,1.06507,0.92543,1.2248,0.000398522,0.000398522,0.000398522
162,20950.7,1.0126,0.81908,1.18672,0.71048,0.66328,0.66874,0.45598,1.0652,0.92558,1.225,0.000369683,0.000369683,0.000369683
163,21080.2,1.01239,0.8157,1.1947,0.70895,0.6646,0.66871,0.45573,1.06544,0.92562,1.22529,0.00034227,0.00034227,0.00034227
164,21213.4,1.02599,0.82847,1.19576,0.70674,0.66496,0.66855,0.45527,1.06558,0.92578,1.22548,0.000316291,0.000316291,0.000316291
165,21347.1,1.01576,0.82486,1.19236,0.70667,0.66422,0.66864,0.45576,1.06597,0.92574,1.22584,0.000291755,0.000291755,0.000291755
166,21490.5,0.95525,0.65631,1.16578,0.70805,0.66356,0.66865,0.45515,1.06608,0.92501,1.22598,0.000268667,0.000268667,0.000268667
167,21620.8,0.9451,0.64036,1.16036,0.72015,0.65418,0.66936,0.45553,1.06613,0.92397,1.22612,0.000247036,0.000247036,0.000247036
168,21751.3,0.94922,0.6492,1.16295,0.72162,0.65499,0.66924,0.45511,1.06609,0.92448,1.22639,0.000226868,0.000226868,0.000226868
169,21880.3,0.93475,0.63222,1.15046,0.72237,0.65341,0.66945,0.45538,1.06616,0.92429,1.22648,0.000208169,0.000208169,0.000208169
170,22006.6,0.9277,0.63369,1.14651,0.72425,0.64941,0.66923,0.45526,1.06631,0.92412,1.22662,0.000190945,0.000190945,0.000190945
171,22133,0.93363,0.63136,1.15129,0.72506,0.64795,0.66897,0.45513,1.06669,0.92421,1.22707,0.000175202,0.000175202,0.000175202
172,22259.5,0.9278,0.62816,1.15093,0.72401,0.64878,0.66842,0.45533,1.06656,0.92398,1.22729,0.000160943,0.000160943,0.000160943
173,22386.3,0.92822,0.62785,1.14927,0.72332,0.64677,0.66852,0.45541,1.06636,0.92402,1.22732,0.000148173,0.000148173,0.000148173
174,22512,0.92525,0.62146,1.14736,0.72747,0.64641,0.66854,0.45521,1.06645,0.92437,1.22779,0.000136897,0.000136897,0.000136897
175,22637.5,0.9255,0.62063,1.15026,0.72724,0.64659,0.66864,0.45537,1.06666,0.92491,1.22792,0.000127117,0.000127117,0.000127117
176,22764.1,0.92178,0.6259,1.14423,0.72923,0.6451,0.66873,0.45523,1.06675,0.92492,1.22819,0.000118836,0.000118836,0.000118836
177,22890.4,0.91794,0.61714,1.14429,0.73028,0.64421,0.66855,0.45538,1.06679,0.92469,1.22844,0.000112058,0.000112058,0.000112058
178,23017.2,0.91919,0.61634,1.14611,0.73024,0.6442,0.66847,0.45493,1.0667,0.92434,1.2287,0.000106784,0.000106784,0.000106784
179,23144.5,0.92513,0.62372,1.14748,0.72896,0.64399,0.66844,0.45492,1.06648,0.92423,1.22891,0.000103015,0.000103015,0.000103015
180,23271.4,0.91394,0.61574,1.14186,0.72426,0.64607,0.66825,0.45509,1.06672,0.92392,1.22944,0.000100754,0.000100754,0.000100754
